,,,,,,
CANVAS TABLE,,,,,TABLE FOR WBEZ,
Reporting District,Department Name,Department Description,Department Category,,Reporting District,Department Category
196,CPD-Other,Asset Forfeiture Unit,CPD,,196,CPD
198,CPD-Other,Other Police,CPD,,198,CPD
202,CPD-Other,Other Police,CPD,,202,CPD
205,CPD-Other,Other Police,CPD,,205,CPD
209,CPD-Other,Other Police,CPD,,209,CPD
211,CPD-Other,"Deputy Chief, Area 1",CPD,,211,CPD
212,CPD-Other,"Deputy Chief, Area 2",CPD,,212,CPD
213,CPD-Other,"Deputy Chief, Area 3",CPD,,213,CPD
214,CPD-Other,"Deputy Chief, Area 4",CPD,,214,CPD
215,CPD-Other,"Deputy Chief, Area 5",CPD,,215,CPD
216,CPD,Bike Patrol Unit,CPD,,216,CPD
217,CPD-Other,Other Police,CPD,,217,CPD
225,CPD-Other,Other Police,CPD,,225,CPD
231,CPD-Other,Medical Services Section,CPD,,231,CPD
232,CPD-Other,Other Police,CPD,,232,CPD
235,CPD-Other,Other Police,CPD,,235,CPD
252,CPD,OEMC,CPD,,252,CPD
253,CPD,Target Response Unit,CPD,,253,CPD
257,CPD-Other,Other Police,CPD,,257,CPD
262,CPD-Other,Other Police,CPD,,262,CPD
276,CPD-Other,OEMC Detail,CPD,,276,CPD
284,CPD,Youth Division/School Patrol,CPD,,284,CPD
301,CPD-Other,Other Police,CPD,,301,CPD
309,CPD-Other,Other Police,CPD,,309,CPD
729,Miscellaneous,CPM,Chicago Parking Meter,,729,Other
341,CPD-Other,K9 Unit,CPD,,341,CPD
0TEM,CPD-Other,Other Police,CPD,,0TEM,CPD
1024,CPD-Other,Other Police,CPD,,1024,CPD
1032,CPD-Other,Other Police,CPD,,1032,CPD
1122,CPD-Other,Other Police,CPD,,1122,CPD
1524,CPD-Other,Other Police,CPD,,1524,CPD
158,CPD-Other,Other Police,CPD,,158,CPD
1611,CPD-Other,Other Police,CPD,,1611,CPD
1623,CPD-Other,Other Police,CPD,,1623,CPD
1644,CPD-Other,Other Police,CPD,,1644,CPD
165,CPD-Other,Other Police,CPD,,165,CPD
1723,CPD-Other,Other Police,CPD,,1723,CPD
1732,CPD-Other,Other Police,CPD,,1732,CPD
1733,CPD-Other,Other Police,CPD,,1733,CPD
2123,CPD-Other,Other Police,CPD,,2123,CPD
2124,CPD-Other,Other Police,CPD,,2124,CPD
2131,CPD-Other,Other Police,CPD,,2131,CPD
2142,CPD-Other,Other Police,CPD,,2142,CPD
242,CPD-Other,Other Police,CPD,,242,CPD
2431,CPD-Other,Other Police,CPD,,2431,CPD
244,CPD-Other,Other Police,CPD,,244,CPD
250,CPD-Other,Other Police,CPD,,250,CPD
255,CPD-Other,Other Police,CPD,,255,CPD
272,CPD-Other,Other Police,CPD,,272,CPD
2,CPD,5101 S. Wentworth,CPD,,2,CPD
3,CPD,7040 S. Cottage Grove,CPD,,3,CPD
4,CPD,2255 E. 103rd Street,CPD,,4,CPD
5,CPD,727 E. 11th Street,CPD,,5,CPD
6,CPD,7808 S. Halsted,CPD,,6,CPD
7,CPD,6120 S. Racine,CPD,,7,CPD
8,CPD,3420 W 63rd,CPD,,8,CPD
9,CPD,3120 S Halsted,CPD,,9,CPD
10,CPD,3315 W. Ogden,CPD,,10,CPD
11,CPD,3151 W. Harrison,CPD,,11,CPD
12,CPD,100 S. Racine,CPD,,12,CPD
13,CPD,"937 N. Wood, 2nd Fl",CPD,,13,CPD
14,CPD,2150 N. California,CPD,,14,CPD
15,CPD,5701 W. Madison,CPD,,15,CPD
16,CPD,5151 N. Milwaukee,CPD,,16,CPD
17,CPD,4650 N. Pulaski,CPD,,17,CPD
311,CPD-Other,Gang Team 1,CPD,,311,CPD
312,CPD-Other,Gang Team 2,CPD,,312,CPD
313,CPD-Other,Gang Team 3,CPD,,313,CPD
314,CPD-Other,Gang Team 4,CPD,,314,CPD
315,CPD-Other,Gang Team 5,CPD,,315,CPD
325,CPD-Other,Other Police,CPD,,325,CPD
333,Miscellaneous,Mayor's Office of People w Disabilities,Miscellaneous/Other,,333,Other
351,CPD-Other,Other Police,CPD,,351,CPD
353,CPD,Operation Closed Market,CPD,,353,CPD
355,CPD-Other,Other Police,CPD,,355,CPD
376,CPD-Other,Alternate Response Section,CPD,,376,CPD
377,CPD-Other,Evidence Technician Team - North,CPD,,377,CPD
384,CPD-Other,Juvenile Intervention,CPD,,384,CPD
385,CPD-Other,Other Police,CPD,,385,CPD
393,CPD-Other,Gang Enforcement Section,CPD,,393,CPD
398,CPD-Other,Other Police,CPD,,398,CPD
404,CPD-Other,Other Police,CPD,,404,CPD
412,CPD-Other,Other Police,CPD,,412,CPD
416,CPD-Other,Other Police,CPD,,416,CPD
419,CPD-Other,Other Police,CPD,,419,CPD
424,CPD-Other,Other Police,CPD,,424,CPD
432,CPD-Other,Other Police,CPD,,432,CPD
433,CPD-Other,Other Police,CPD,,433,CPD
443,CPD-Other,Other Police,CPD,,443,CPD
446,CPD-Other,Other Police,CPD,,446,CPD
451,CPD-Other,Other Police,CPD,,451,CPD
455,CPD-Other,Other Police,CPD,,455,CPD
464,CPD-Other,Other Police,CPD,,464,CPD
471,Miscellaneous,Pacific Railroad,Miscellaneous/Other,,471,Other
476,CPD-Other,Other Police,CPD,,476,CPD
477,CPD-Other,Evidence Technician Team - South,CPD,,477,CPD
488,CPD-Other,Other Police,CPD,,488,CPD
490,Miscellaneous,Cook County Sheriff,Miscellaneous/Other,,490,Other
491,Miscellaneous,Cook County Sheriff,Miscellaneous/Other,,491,Other
492,Miscellaneous,Aviation- Midway/Ohare,Miscellaneous/Other,,492,Other
493,CPD,Union Pacific Railroad,CPD,,493,CPD
494,CPD,Amtrak,CPD,,494,CPD
495,Miscellaneous,Streets and Sanitation,Streets and San,,495,Other
496,Miscellaneous,UIC,Miscellaneous/Other,,496,Other
497,Miscellaneous,Illinois State Police,Miscellaneous/Other,,497,Other
498,DOF,Department of Finance,DOF,,498,DOF
499,Miscellaneous,Streets and Sanitation,Streets and San,,499,Other
500,Miscellaneous,C-DOT,Miscellaneous/Other,,500,Other
501,Miscellaneous,City Clerk Office,Miscellaneous/Other,,501,Other
502,DOF,SERCO,SERCO,,502,Other
503,DOF,Business License Investigation,DOF,,503,DOF
504,Miscellaneous,SERCO/City Clerk,Miscellaneous/Other,,504,Other
505,CPD-Other,Other Police,CPD,,505,Other
506,CPD-Other,Other Police,CPD,,506,Other
507,CPD-Other,Other Police,CPD,,507,Other
511,Miscellaneous,Chicago Transit Authority,Miscellaneous/Other,,511,Other
512,CPD-Other,Other Police,CPD,,512,CPD
522,CPD-Other,Other Police,CPD,,522,CPD
524,CPD-Other,Other Police,CPD,,524,CPD
532,CPD-Other,Other Police,CPD,,532,CPD
533,CPD-Other,Other Police,CPD,,533,CPD
541,CPD-Other,Fraternal Order of Police,CPD,,541,CPD
542,CPD-Other,Detached Services - Security Detail,CPD,,542,CPD
543,CPD-Other,Detached Services - Misc Detail,CPD,,543,CPD
545,CPD-Other,PBPA Sergeant,CPD,,545,CPD
547,CPD-Other,Chicago Police Memorial Foundation,CPD,,547,CPD
549,CPD-Other,Inspector General Detail,CPD,,549,CPD
551,CPD-Other,Other Police,CPD,,551,CPD
557,CPD,Bureau of Patrol - Crossing Guard,CPD,,557,CPD
571,CPD-Other,Other Police,CPD,,571,CPD
577,CPD-Other,Other Police,CPD,,577,CPD
588,CPD-Other,34 E. 112th. Pl.,CPD,,588,CPD
601,CPD-Other,Detective Division - Administration,CPD,,601,CPD
603,CPD-Other,Other Police,CPD,,603,CPD
604,CPD-Other,Bomb and Arson Section,CPD,,604,CPD
605,CPD-Other,FBI Task Force Unit,CPD,,605,CPD
606,CPD-Other,Central Investigations Section,CPD,,606,CPD
607,CPD-Other,Cold Case Unit,CPD,,607,CPD
608,CPD-Other,Major Accident Investigation,CPD,,608,CPD
609,CPD-Other,Financial Crimes Unit,CPD,,609,CPD
610,CPD-Other,Detective Division - Area 1,CPD,,610,CPD
611,CPD-Other,Other Police,CPD,,611,CPD
612,CPD-Other,Other Police,CPD,,612,CPD
613,CPD-Other,Other Police,CPD,,613,CPD
616,CPD-Other,Other Police,CPD,,616,CPD
620,CPD-Other,Detective Division - Area 2,CPD,,620,CPD
621,Miscellaneous,Cook County Police,Miscellaneous/Other,,621,Other
630,CPD-Other,Detective Division - Area 3,CPD,,630,CPD
631,CPD-Other,Other Police,CPD,,631,CPD
632,CPD-Other,Other Police,CPD,,632,CPD
634,CPD-Other,Other Police,CPD,,634,CPD
638,CPD-Other,Other Police,CPD,,638,CPD
640,CPD-Other,Detective Division - Area 4,CPD,,640,CPD
642,CPD-Other,Other Police,CPD,,642,CPD
644,CPD-Other,Other Police,CPD,,644,CPD
650,CPD-Other,Detective Division - Area 5,CPD,,650,CPD
653,CPD-Other,Other Police,CPD,,653,CPD
658,CPD-Other,Other Police,CPD,,658,CPD
676,CPD-Other,Other Police,CPD,,676,CPD
694,Miscellaneous,Kennedy-King College,Miscellaneous/Other,,694,Other
701,CPD,Mass Transit,CPD,,701,CPD
702,CPD-Other,CTA Security,CPD,,702,CPD
703,CPD,Meigs Field (Summer Mobile),CPD,,703,CPD
705,CPD-Other,Other Police,CPD,,705,CPD
711,CPD-Other,Other Police,CPD,,711,CPD
713,CPD-Other,Other Police,CPD,,713,CPD
715,CPD,Taylor,CPD,,715,CPD
724,CPD-Other,Other Police,CPD,,724,CPD
728,Miscellaneous,"LAZ Parking Chicago, LLC",LAZ,,728,Other
731,CPD-Other,Other Police,CPD,,731,CPD
734,CPD-Other,Other Police,CPD,,734,CPD
752,CPD-Other,Other Police,CPD,,752,CPD
755,CPD-Other,Other Police,CPD,,755,CPD
765,CPD,P. Housing Horner Station,CPD,,765,CPD
792,Miscellaneous,Cook County Sheriff,Miscellaneous/Other,,792,Other
804,CPD-Other,Other Police,CPD,,804,CPD
813,CPD-Other,Other Police,CPD,,813,CPD
825,CPD-Other,Other Police,CPD,,825,CPD
827,CPD-Other,Other Police,CPD,,827,CPD
828,CPD-Other,Other Police,CPD,,828,CPD
829,CPD-Other,Other Police,CPD,,829,CPD
833,CPD-Other,Other Police,CPD,,833,CPD
834,CPD-Other,Other Police,CPD,,834,CPD
836,CPD-Other,Other Police,CPD,,836,CPD
838,CPD-Other,Other Police,CPD,,838,CPD
857,CPD-Other,Other Police,CPD,,857,CPD
859,CPD-Other,Other Police,CPD,,859,CPD
860,CPD-Other,Other Police,CPD,,860,CPD
861,CPD-Other,Other Police,CPD,,861,CPD
862,Miscellaneous,University of Chicago,Miscellaneous/Other,,862,Other
870,Miscellaneous,Chicago Park District,Miscellaneous/Other,,870,Other
892,Miscellaneous,St Xavier University,Miscellaneous/Other,,892,Other
896,CPD-Other,Other Police,CPD,,896,CPD
902,CPD-Other,Other Police,CPD,,902,CPD
911,CPD-Other,Other Police,CPD,,911,CPD
915,CPD-Other,Other Police,CPD,,915,CPD
921,CPD-Other,Other Police,CPD,,921,CPD
925,CPD-Other,Other Police,CPD,,925,CPD
931,CPD-Other,Other Police,CPD,,931,CPD
933,CPD-Other,Other Police,CPD,,933,CPD
935,CPD-Other,Other Police,CPD,,935,CPD
1702,CPD-Other,Other Police,CPD,,1702,CPD
2036,CPD-Other,Other Police,CPD,,2036,CPD
2599,CPD-Other,Other Police,CPD,,2599,CPD
3452,CPD-Other,Other Police,CPD,,3452,CPD
3620,CPD-Other,Other Police,CPD,,3620,CPD
6054,CPD-Other,Other Police,CPD,,6054,CPD
6215,Miscellaneous,Cook County Police  ,Miscellaneous/Other,,6215,Other
CTA,CTA,CTA,CTA,,CTA,Other
cta,CTA,CTA,CTA,,cta,Other
pl,CPD-Other,Other Police,CPD,,pl,CPD
RDFX,Red Light,Red Light,Red light,,RDFX,Red Light
0,Unidentified,NULL OR ZERO,Miscellaneous/Other,,0,Other
,Unidentified,NULL OR ZERO,Miscellaneous/Other,,,Other
1,CPD,1718 S. State,CPD,,1,CPD
300,CPD-Other,Other Police,CPD,,300,CPD
402,CPD-Other,Other Police,CPD,,402,CPD
42,CPD-Other,Other Police,CPD,,42,CPD
452,CPD-Other,Other Police,CPD,,452,CPD
48,CPD-Other,Other Police,CPD,,48,CPD
509,CPD-Other,Other Police,CPD,,509,CPD
54,CPD-Other,Other Police,CPD,,54,CPD
584,CPD-Other,Other Police,CPD,,584,CPD
585,CPD-Other,Other Police,CPD,,585,CPD
595,CPD-Other,Other Police,CPD,,595,CPD
641,CPD-Other,Other Police,CPD,,641,CPD
693,CPD-Other,Other Police,CPD,,693,CPD
704,CPD-Other,Other Police,CPD,,704,CPD
717,CPD-Other,Other Police,CPD,,717,CPD
749,CPD-Other,Other Police,CPD,,749,CPD
76,CPD-Other,Other Police,CPD,,76,CPD
777,CPD-Other,Other Police,CPD,,777,CPD
802,CPD-Other,Other Police,CPD,,802,CPD
812,CPD-Other,Other Police,CPD,,812,CPD
824,CPD-Other,Other Police,CPD,,824,CPD
832,CPD-Other,Other Police,CPD,,832,CPD
835,CPD-Other,Other Police,CPD,,835,CPD
88,CPD-Other,Other Police,CPD,,88,CPD
90,CPD-Other,Other Police,CPD,,90,CPD
922,CPD-Other,Other Police,CPD,,922,CPD
924,CPD-Other,Other Police,CPD,,924,CPD
927,CPD-Other,Other Police,CPD,,927,CPD
96,CPD-Other,Other Police,CPD,,96,CPD
968,CPD-Other,Other Police,CPD,,968,CPD
990,CPD-Other,Other Police,CPD,,990,CPD
D2,CPD-Other,Other Police,CPD,,D2,CPD
K52,CPD-Other,Other Police,CPD,,K52,CPD
712,CPD-Other,Office of 1st Deputy Superintendent,CPD,,712,CPD
8489,CPD,CPD,CPD,,8489,CPD
SPD,Speed,Speed,Speed,,SPD,Speed
526,Miscellaneous,Navy Pier Security,Miscellaneous/Other,,526,Other
XERX,Red Light,Red Light,Red light,,XERX,Red Light
241,CPD-Other,Troubled Building Section,CPD,,241,CPD
261,CPD-Other,Court Section,CPD,,261,CPD
277,CPD-Other,Forensic Services,CPD,,277,CPD
411,CPD-Other,Area Central Deputy Chief,CPD,,411,CPD
413,CPD-Other,Area North Deputy Chief,CPD,,413,CPD
442,CPD-Other,Bomb Unit,CPD,,442,CPD
2111,CPD-Other,Other Police,CPD,,2111,CPD
3837,CPD-Other,Other Police,CPD,,3837,CPD
401,CPD-Other,Other Police,CPD,,401,CPD
414,CPD-Other,Other Police,CPD,,414,CPD
415,CPD-Other,Other Police,CPD,,415,CPD
707,CPD-Other,Other Police,CPD,,707,CPD
814,CPD-Other,Other Police,CPD,,814,CPD
789,CPD-Other,Other Police,CPD,,789,CPD
410,CPD-Other,Other Police,CPD,,410,CPD
109,CPD-Other,Other Police,CPD,,109,CPD
TEST,CPD-Other,Other Police,CPD,,TEST,CPD
899,Miscellaneous,McCormick Place,Miscellaneous/Other,,899,Other
900,Miscellaneous,Homeland Security,Miscellaneous/Other,,900,Other
714,CPD-Other,Summer Bike Patrol,CPD,,714,CPD
9999,Miscellaneous,Miscellaneous,Miscellaneous/Other,,9999,Other
1111,Miscellaneous,Miscellaneous,Miscellaneous/Other,,1111,Other
